case,material,step,isotope,adens_atoms_per_barn_cm
M43-10,M43-10,7,Xe135,1.63349e-08
M43-10,M43-10,8,Xe135,1.63098e-08
M43-10,M43-10,9,Xe135,1.62922e-08
M43-10,M43-10,10,Xe135,1.62337e-08
M43-10,M43-10,11,Xe135,1.61871e-08
M43-10,M43-10,12,Xe135,1.61422e-08
M43-10,M43-10,13,Xe135,1.61022e-08
M43-10,M43-10,14,Xe135,1.60612e-08
M43-10,M43-10,15,Xe135,1.5933e-08
M43-10,M43-10,16,Xe135,1.58379e-08
M43-10,M43-10,17,Xe135,1.57485e-08
M43-10,M43-10,18,Xe135,1.5653e-08
M43-10,M43-10,19,Xe135,1.55579e-08
M43-10,M43-10,20,Xe135,1.54633e-08
M43-10,M43-10,21,Xe135,1.52269e-08
M43-10,M43-10,22,Xe135,1.50449e-08
M43-10,M43-10,23,Xe135,1.47293e-08
M43-10,M43-10,24,Xe135,1.43434e-08
M43-10,M43-10,25,Xe135,1.40118e-08
M43-10,M43-10,0,Sm149,0.0
M43-10,M43-10,1,Sm149,6.85538e-09
M43-10,M43-10,2,Sm149,5.60593e-08
M43-10,M43-10,3,Sm149,9.92665e-08
M43-10,M43-10,4,Sm149,1.30284e-07
M43-10,M43-10,5,Sm149,1.52119e-07
M43-10,M43-10,6,Sm149,1.67471e-07
M43-10,M43-10,7,Sm149,1.81138e-07
M43-10,M43-10,8,Sm149,1.91398e-07
M43-10,M43-10,9,Sm149,1.97294e-07
M43-10,M43-10,10,Sm149,2.03333e-07
M43-10,M43-10,11,Sm149,2.06017e-07
M43-10,M43-10,12,Sm149,2.07696e-07
M43-10,M43-10,13,Sm149,2.09208e-07
M43-10,M43-10,14,Sm149,2.10423e-07
M43-10,M43-10,15,Sm149,2.12417e-07
M43-10,M43-10,16,Sm149,2.1372e-07
M43-10,M43-10,17,Sm149,2.14541e-07
M43-10,M43-10,18,Sm149,2.15135e-07
M43-10,M43-10,19,Sm149,2.15274e-07
M43-10,M43-10,20,Sm149,2.15139e-07
M43-10,M43-10,21,Sm149,2.148e-07
M43-10,M43-10,22,Sm149,2.13309e-07
M43-10,M43-10,23,Sm149,2.10441e-07
M43-10,M43-10,24,Sm149,2.05905e-07
M43-10,M43-10,25,Sm149,2.00333e-07
M43-10,M43-10,0,Cs137,0.0
M43-10,M43-10,1,Cs137,1.23236e-07
M43-10,M43-10,2,Cs137,4.92816e-07
M43-10,M43-10,3,Cs137,8.62216e-07
M43-10,M43-10,4,Cs137,1.23156e-06
M43-10,M43-10,5,Cs137,1.60079e-06
M43-10,M43-10,6,Cs137,1.9699e-06
M43-10,M43-10,7,Cs137,2.46204e-06
M43-10,M43-10,8,Cs137,3.07724e-06
M43-10,M43-10,9,Cs137,3.69283e-06
M43-10,M43-10,10,Cs137,4.92395e-06
M43-10,M43-10,11,Cs137,6.15537e-06
M43-10,M43-10,12,Cs137,7.38768e-06
M43-10,M43-10,13,Cs137,8.62023e-06
M43-10,M43-10,14,Cs137,9.85382e-06
M43-10,M43-10,15,Cs137,1.23212e-05
M43-10,M43-10,16,Cs137,1.47908e-05
M43-10,M43-10,17,Cs137,1.72634e-05
M43-10,M43-10,18,Cs137,1.97382e-05
M43-10,M43-10,19,Cs137,2.22149e-05
M43-10,M43-10,20,Cs137,2.46952e-05
M43-10,M43-10,21,Cs137,2.96613e-05
M43-10,M43-10,22,Cs137,3.4636e-05
M43-10,M43-10,23,Cs137,4.21198e-05
M43-10,M43-10,24,Cs137,5.2141e-05
M43-10,M43-10,25,Cs137,6.22186e-05
M43-10,M43-10,0,Sr90,0.0
M43-10,M43-10,1,Sr90,4.2256e-08
M43-10,M43-10,2,Sr90,1.69018e-07
M43-10,M43-10,3,Sr90,2.95725e-07
M43-10,M43-10,4,Sr90,4.22453e-07
M43-10,M43-10,5,Sr90,5.49198e-07
M43-10,M43-10,6,Sr90,6.75976e-07
M43-10,M43-10,7,Sr90,8.45155e-07
M43-10,M43-10,8,Sr90,1.05691e-06
M43-10,M43-10,9,Sr90,1.26912e-06
M43-10,M43-10,10,Sr90,1.69466e-06
M43-10,M43-10,11,Sr90,2.12191e-06
M43-10,M43-10,12,Sr90,2.55111e-06
