case,detector,G1,G2,G3,G4,G5,G6,G7
C001,det20,21482631600000.0,100015662000000.0,4297584600000000.0,5864055700000000.0,2.88446881e+16,5946594200000000.0,8.9671701e+16
C001,det21,23739884600000.0,110962419000000.0,4751902400000000.0,6309597300000000.0,2.9521417e+16,6100976700000000.0,9.1905204e+16
C001,det22,26395063000000.0,123566571000000.0,5288550500000000.0,6832694500000000.0,3.023289e+16,6262385200000000.0,9.4162719e+16
C001,det23,31274588900000.0,146803435000000.0,6258628900000000.0,7772389800000000.0,3.1347854e+16,6505747100000000.0,9.7671899e+16
C001,det24,39469984900000.0,185461917000000.0,7862957400000000.0,9303782100000000.0,3.2867135e+16,6832152200000000.0,1.02292335e+17
C001,det25,48854779000000.0,229886494000000.0,9684806300000000.0,1.09932029e+16,3.4261412e+16,7121355300000000.0,1.06429355e+17
C002,det0,7753368900000.0,35113707500000.0,1493363950000000.0,2761509300000000.0,2.02733898e+16,4282305300000000.0,6.5894752e+16
C002,det1,7771866200000.0,35126709200000.0,1486913640000000.0,2784596840000000.0,2.05820076e+16,4350943000000000.0,6.6964753e+16
C002,det2,7764367600000.0,35099958800000.0,1487425280000000.0,2787465680000000.0,2.07617415e+16,4400742100000000.0,6.7718642e+16
C002,det3,7789153000000.0,35165751600000.0,1489610090000000.0,2790630650000000.0,2.09075211e+16,4440642300000000.0,6.8326862e+16
C002,det4,7793556400000.0,35224037800000.0,1492278540000000.0,2794905790000000.0,2.103753e+16,4478223300000000.0,6.8874277e+16
C002,det5,7807998200000.0,35309308400000.0,1494490110000000.0,2798414120000000.0,2.11487417e+16,4508321200000000.0,6.9330959e+16
C002,det6,7821373000000.0,35333174800000.0,1496595230000000.0,2801764990000000.0,2.12437501e+16,4533512800000000.0,6.9726246e+16
C002,det7,7828755000000.0,35414359000000.0,1499876490000000.0,2807080040000000.0,2.13611654e+16,4565681800000000.0,7.0217253e+16
C002,det8,7855049500000.0,35482689300000.0,1504263360000000.0,2813174250000000.0,2.14865789e+16,4600049400000000.0,7.0734492e+16
C002,det9,7883741200000.0,35625009900000.0,1510024270000000.0,2819774160000000.0,2.15941143e+16,4629992800000000.0,7.1214863e+16
C002,det10,7946870000000.0,35902893900000.0,1519139090000000.0,2831366640000000.0,2.17847082e+16,4684202500000000.0,7.2004385e+16
C002,det11,7963534100000.0,36066847100000.0,1528535270000000.0,2842674100000000.0,2.19427088e+16,4728609600000000.0,7.2669901e+16
C002,det12,8005312000000.0,36249708200000.0,1538468550000000.0,2854357680000000.0,2.20861082e+16,4770704700000000.0,7.328206e+16
C002,det13,8050043600000.0,36493271700000.0,1549087880000000.0,2866209590000000.0,2.220969e+16,4807190800000000.0,7.3822623e+16
C002,det14,8122322000000.0,36780683300000.0,1560717360000000.0,2878992830000000.0,2.23286677e+16,4838881900000000.0,7.4318764e+16
C002,det15,8215231900000.0,37222185200000.0,1582611830000000.0,2903643660000000.0,2.25450964e+16,4902389600000000.0,7.5232445e+16
C002,det16,8322046500000.0,37689078300000.0,1604217140000000.0,2930138030000000.0,2.27469499e+16,4961878000000000.0,7.6081e+16
C002,det17,8441941200000.0,38268928900000.0,1630282750000000.0,2959196170000000.0,2.29310262e+16,5014598400000000.0,7.6846098e+16
C002,det18,8539176900000.0,38785255200000.0,1654915850000000.0,2988034330000000.0,2.31102857e+16,5063526000000000.0,7.7596041e+16
C002,det19,8682044100000.0,39469964800000.0,1682910400000000.0,3019693010000000.0,2.3288553e+16,5114463100000000.0,7.8318798e+16
C002,det20,8800294100000.0,40024130800000.0,1710902300000000.0,3052927960000000.0,2.34627333e+16,5163033400000000.0,7.9002201e+16
C002,det21,9103052100000.0,41412657600000.0,1771927250000000.0,3124524780000000.0,2.37939542e+16,5252399000000000.0,8.0301005e+16
C002,det22,9416318300000.0,42911095000000.0,1839999490000000.0,3203255610000000.0,2.41274278e+16,5339438100000000.0,8.1563628e+16
C002,det23,9974682300000.0,45464046000000.0,1957063410000000.0,3339925300000000.0,2.46292007e+16,5471382400000000.0,8.3404525e+16
C002,det24,10803757500000.0,49578199000000.0,2143980290000000.0,3558550500000000.0,2.53272804e+16,5641743100000000.0,8.5848426e+16
C002,det25,11957251900000.0,54905119000000.0,2377138210000000.0,3831369700000000.0,2.60800122e+16,5818789700000000.0,8.833725e+16
C003,det0,5687841600000.0,25364938600000.0,1053172650000000.0,2117074180000000.0,1.82035175e+16,4049241900000000.0,6.3207117e+16
C003,det1,5680155800000.0,25411816800000.0,1050144190000000.0,2127984020000000.0,1.83948258e+16,4095395900000000.0,6.3922202e+16
C003,det2,5690771900000.0,25434429600000.0,1049407150000000.0,2127479940000000.0,1.8522975e+16,4134514300000000.0,6.4520126e+16
C003,det3,5678395400000.0,25433485800000.0,1049579860000000.0,2127770780000000.0,1.86307882e+16,4166057200000000.0,6.5004314e+16
C003,det4,5684435800000.0,25435371600000.0,1050302150000000.0,2128606270000000.0,1.87229665e+16,4195477000000000.0,6.541994e+16
C003,det5,5687980100000.0,25468964300000.0,1050039740000000.0,2128302440000000.0,1.88032392e+16,4217874000000000.0,6.5795776e+16
C003,det6,5697539300000.0,25456200700000.0,1050808750000000.0,2129851640000000.0,1.88767847e+16,4240129100000000.0,6.6114333e+16
C003,det7,5719232500000.0,25472786100000.0,1052088330000000.0,2131273570000000.0,1.8964138e+16,4265242800000000.0,6.6522198e+16
C003,det8,5702080300000.0,25474336000000.0,1052752930000000.0,2131871600000000.0,1.90586179e+16,4292775800000000.0,6.6946962e+16
C003,det9,5709465200000.0,25478325500000.0,1053771400000000.0,2134525630000000.0,1.91425114e+16,4319349300000000.0,6.7336077e+16
C003,det10,5732377300000.0,25601822600000.0,1055908610000000.0,2138389570000000.0,1.92890955e+16,4363261500000000.0,6.8005272e+16
C003,det11,5724898500000.0,25652282400000.0,1059210990000000.0,2141744050000000.0,1.9412799e+16,4400496100000000.0,6.857029e+16
C003,det12,5757691100000.0,25738222400000.0,1062057940000000.0,2145725550000000.0,1.95206159e+16,4435276600000000.0,6.9087662e+16
C003,det13,5758179600000.0,25781211700000.0,1064584540000000.0,2149599270000000.0,1.96204215e+16,4465363000000000.0,6.9543213e+16
C003,det14,5774199000000.0,25822612600000.0,1068550090000000.0,2153734980000000.0,1.97129396e+16,4494760300000000.0,6.9974048e+16
C003,det15,5799798900000.0,25988582900000.0,1075038020000000.0,2161435090000000.0,1.98782232e+16,4546469000000000.0,7.0747322e+16
C003,det16,5854706000000.0,26145172700000.0,1083063400000000.0,2171244950000000.0,2.00320442e+16,4592831400000000.0,7.1452375e+16
C003,det17,5884237100000.0,26341274200000.0,1090535940000000.0,2180487390000000.0,2.01756416e+16,4637783900000000.0,7.2099777e+16
C003,det18,5912704700000.0,26444080400000.0,1098512630000000.0,2191514820000000.0,2.03094693e+16,4679917800000000.0,7.271511e+16
C003,det19,5936127000000.0,26617342300000.0,1107634520000000.0,2202434080000000.0,2.0437433e+16,4722045800000000.0,7.3295886e+16
C003,det20,5989175300000.0,26913064600000.0,1116512970000000.0,2214021060000000.0,2.05681309e+16,4758772900000000.0,7.3859503e+16
C003,det21,6061572000000.0,27229221200000.0,1135083440000000.0,2237288690000000.0,2.0805781e+16,4831392200000000.0,7.4923973e+16
C003,det22,6184986700000.0,27689087400000.0,1156428150000000.0,2265306940000000.0,2.10467377e+16,4902804000000000.0,7.5928844e+16
C003,det23,6333755700000.0,28430574300000.0,1190694200000000.0,2309998080000000.0,2.13924202e+16,5002834800000000.0,7.7365933e+16
