case,group,keff_threshold,valid_points,burnup_range,max_CR,keff_at_max_CR,avg_CR,Th_level,Pu_level,U235_enrichment,U233_enrichment,total_enrichment
D002,D,0.95,25,0.0 - 42.0,0.81574,0.954335,0.52323832,0.7,0.04,0.03,0.0,0.03
D002,D,1.0,23,0.0 - 28.0,0.708924,1.02383,0.5003310434782609,0.7,0.04,0.03,0.0,0.03
D003,D,0.8,26,0.0 - 50.0,0.814949,0.945103,0.5123129615384616,0.7,0.04,0.05,0.0,0.05
D003,D,0.9,26,0.0 - 50.0,0.814949,0.945103,0.5123129615384616,0.7,0.04,0.05,0.0,0.05
D003,D,0.95,25,0.0 - 42.0,0.767248,0.978447,0.50020752,0.7,0.04,0.05,0.0,0.05
D003,D,1.0,24,0.0 - 34.0,0.713089,1.01585,0.48908083333333335,0.7,0.04,0.05,0.0,0.05
D004,D,0.8,26,0.0 - 50.0,0.732842,0.991627,0.46589984615384605,0.7,0.06,0.02,0.0,0.02
D004,D,0.9,26,0.0 - 50.0,0.732842,0.991627,0.46589984615384605,0.7,0.06,0.02,0.0,0.02
D004,D,0.95,26,0.0 - 50.0,0.732842,0.991627,0.46589984615384605,0.7,0.06,0.02,0.0,0.02
D004,D,1.0,25,0.0 - 42.0,0.685137,1.02658,0.45522215999999993,0.7,0.06,0.02,0.0,0.02
D005,D,0.8,26,0.0 - 50.0,0.71672,1.00018,0.45846165384615384,0.7,0.06,0.03,0.0,0.03
D005,D,0.9,26,0.0 - 50.0,0.71672,1.00018,0.45846165384615384,0.7,0.06,0.03,0.0,0.03
D005,D,0.95,26,0.0 - 50.0,0.71672,1.00018,0.45846165384615384,0.7,0.06,0.03,0.0,0.03
D005,D,1.0,26,0.0 - 50.0,0.71672,1.00018,0.45846165384615384,0.7,0.06,0.03,0.0,0.03
D006,D,0.8,26,0.0 - 50.0,0.686824,1.01645,0.44430488461538464,0.7,0.06,0.05,0.0,0.05
D006,D,0.9,26,0.0 - 50.0,0.686824,1.01645,0.44430488461538464,0.7,0.06,0.05,0.0,0.05
D006,D,0.95,26,0.0 - 50.0,0.686824,1.01645,0.44430488461538464,0.7,0.06,0.05,0.0,0.05
D006,D,1.0,26,0.0 - 50.0,0.686824,1.01645,0.44430488461538464,0.7,0.06,0.05,0.0,0.05
D007,D,0.8,26,0.0 - 50.0,0.629176,1.05625,0.4153803846153846,0.7,0.08,0.02,0.0,0.02
D007,D,0.9,26,0.0 - 50.0,0.629176,1.05625,0.4153803846153846,0.7,0.08,0.02,0.0,0.02
D007,D,0.95,26,0.0 - 50.0,0.629176,1.05625,0.4153803846153846,0.7,0.08,0.02,0.0,0.02
D007,D,1.0,26,0.0 - 50.0,0.629176,1.05625,0.4153803846153846,0.7,0.08,0.02,0.0,0.02
D008,D,0.8,26,0.0 - 50.0,0.619546,1.06199,0.4103097307692307,0.7,0.08,0.03,0.0,0.03
D008,D,0.9,26,0.0 - 50.0,0.619546,1.06199,0.4103097307692307,0.7,0.08,0.03,0.0,0.03
D008,D,0.95,26,0.0 - 50.0,0.619546,1.06199,0.4103097307692307,0.7,0.08,0.03,0.0,0.03
D008,D,1.0,26,0.0 - 50.0,0.619546,1.06199,0.4103097307692307,0.7,0.08,0.03,0.0,0.03
D009,D,0.8,26,0.0 - 50.0,0.600915,1.07321,0.4006362307692308,0.7,0.08,0.05,0.0,0.05
D009,D,0.9,26,0.0 - 50.0,0.600915,1.07321,0.4006362307692308,0.7,0.08,0.05,0.0,0.05
D009,D,0.95,26,0.0 - 50.0,0.600915,1.07321,0.4006362307692308,0.7,0.08,0.05,0.0,0.05
D009,D,1.0,26,0.0 - 50.0,0.600915,1.07321,0.4006362307692308,0.7,0.08,0.05,0.0,0.05
D010,D,0.8,26,0.0 - 50.0,0.919902,0.897143,0.5542938076923077,0.8,0.04,0.02,0.0,0.02
D010,D,0.9,25,0.0 - 42.0,0.871963,0.92734,0.53966948,0.8,0.04,0.02,0.0,0.02
D010,D,0.95,24,0.0 - 34.0,0.807011,0.965311,0.5258239166666666,0.8,0.04,0.02,0.0,0.02
D010,D,1.0,22,0.0 - 24.0,0.710196,1.02385,0.50285,0.8,0.04,0.02,0.0,0.02
D011,D,0.8,26,0.0 - 50.0,0.902881,0.904399,0.5452839230769231,0.8,0.04,0.03,0.0,0.03
D011,D,0.9,26,0.0 - 50.0,0.902881,0.904399,0.5452839230769231,0.8,0.04,0.03,0.0,0.03
D011,D,0.95,24,0.0 - 34.0,0.78917,0.974011,0.5175299166666667,0.8,0.04,0.03,0.0,0.03
D011,D,1.0,23,0.0 - 28.0,0.734115,1.00749,0.5057194782608695,0.8,0.04,0.03,0.0,0.03
D012,D,0.8,26,0.0 - 50.0,0.869371,0.919018,0.5283606923076923,0.8,0.04,0.05,0.0,0.05
D012,D,0.9,26,0.0 - 50.0,0.869371,0.919018,0.5283606923076923,0.8,0.04,0.05,0.0,0.05
D012,D,0.95,25,0.0 - 42.0,0.818484,0.951802,0.51472028,0.8,0.04,0.05,0.0,0.05
D012,D,1.0,23,0.0 - 28.0,0.704888,1.02368,0.4910132608695652,0.8,0.04,0.05,0.0,0.05
D013,D,0.8,26,0.0 - 50.0,0.745086,0.98289,0.46178342307692305,0.8,0.06,0.02,0.0,0.02
D013,D,0.9,26,0.0 - 50.0,0.745086,0.98289,0.46178342307692305,0.8,0.06,0.02,0.0,0.02
D013,D,0.95,26,0.0 - 50.0,0.745086,0.98289,0.46178342307692305,0.8,0.06,0.02,0.0,0.02
D013,D,1.0,25,0.0 - 42.0,0.692583,1.01977,0.45045131999999993,0.8,0.06,0.02,0.0,0.02
D014,D,0.8,26,0.0 - 50.0,0.734563,0.988413,0.45704742307692303,0.8,0.06,0.03,0.0,0.03
D014,D,0.9,26,0.0 - 50.0,0.734563,0.988413,0.45704742307692303,0.8,0.06,0.03,0.0,0.03
D014,D,0.95,26,0.0 - 50.0,0.734563,0.988413,0.45704742307692303,0.8,0.06,0.03,0.0,0.03
D014,D,1.0,25,0.0 - 42.0,0.683508,1.02494,0.4459468,0.8,0.06,0.03,0.0,0.03
D015,D,0.8,26,0.0 - 50.0,0.714262,0.998912,0.44794226923076924,0.8,0.06,0.05,0.0,0.05
D015,D,0.9,26,0.0 - 50.0,0.714262,0.998912,0.44794226923076924,0.8,0.06,0.05,0.0,0.05
D015,D,0.95,26,0.0 - 50.0,0.714262,0.998912,0.44794226923076924,0.8,0.06,0.05,0.0,0.05
D015,D,1.0,25,0.0 - 42.0,0.665148,1.03514,0.43728948,0.8,0.06,0.05,0.0,0.05
D016,D,0.8,26,0.0 - 50.0,0.62785,1.05367,0.40692792307692305,0.8,0.08,0.02,0.0,0.02
D016,D,0.9,26,0.0 - 50.0,0.62785,1.05367,0.40692792307692305,0.8,0.08,0.02,0.0,0.02
D016,D,0.95,26,0.0 - 50.0,0.62785,1.05367,0.40692792307692305,0.8,0.08,0.02,0.0,0.02
D016,D,1.0,26,0.0 - 50.0,0.62785,1.05367,0.40692792307692305,0.8,0.08,0.02,0.0,0.02
D017,D,0.8,26,0.0 - 50.0,0.622028,1.05712,0.40401169230769224,0.8,0.08,0.03,0.0,0.03
D017,D,0.9,26,0.0 - 50.0,0.622028,1.05712,0.40401169230769224,0.8,0.08,0.03,0.0,0.03
D017,D,0.95,26,0.0 - 50.0,0.622028,1.05712,0.40401169230769224,0.8,0.08,0.03,0.0,0.03
