case,bstep,burnup_MWd_kgHM,row_1of8,col_1of8,power_raw,power_normalized,rel_error_pct
mox43,10,4.000000,4,3,0.003991,1.052148,5.214843
mox43,10,4.000000,5,1,0.003982,1.049599,4.959941
mox43,10,4.000000,5,2,0.003813,1.005201,0.520105
mox43,10,4.000000,5,3,0.003822,1.007610,0.761037
mox43,10,4.000000,5,4,0.004045,1.066320,6.631963
mox43,10,4.000000,5,5,0.003978,1.048513,4.851337
mox43,10,4.000000,6,1,0.003960,1.043761,4.376064
mox43,10,4.000000,6,2,0.003805,1.002921,0.292090
mox43,10,4.000000,6,3,0.003823,1.007827,0.782652
mox43,10,4.000000,6,4,0.004060,1.070179,7.017875
mox43,10,4.000000,6,5,0.004139,1.091011,9.101116
mox43,10,4.000000,7,2,0.003948,1.040590,4.058952
mox43,10,4.000000,7,3,0.003960,1.043950,4.395043
mox43,10,4.000000,7,5,0.004051,1.067896,6.789597
mox43,10,4.000000,7,6,0.003936,1.037635,3.763455
mox43,10,4.000000,7,7,0.003673,0.968297,-3.170312
mox43,10,4.000000,8,1,0.003879,1.022504,2.250384
mox43,10,4.000000,8,2,0.003720,0.980581,-1.941930
mox43,10,4.000000,8,3,0.003721,0.980807,-1.919260
mox43,10,4.000000,8,4,0.003887,1.024744,2.474445
mox43,10,4.000000,8,5,0.003716,0.979584,-2.041571
mox43,10,4.000000,8,6,0.003583,0.944554,-5.544568
mox43,10,4.000000,8,7,0.003490,0.919958,-8.004231
mox43,10,4.000000,8,8,0.003462,0.912706,-8.729398
mox43,10,4.000000,9,1,0.003628,0.956358,-4.364161
mox43,10,4.000000,9,2,0.003608,0.951152,-4.884774
mox43,10,4.000000,9,3,0.003617,0.953406,-4.659395
mox43,10,4.000000,9,4,0.003617,0.953335,-4.666512
mox43,10,4.000000,9,5,0.003597,0.948158,-5.184225
mox43,10,4.000000,9,6,0.003540,0.933135,-6.686488
mox43,10,4.000000,9,7,0.003507,0.924381,-7.561908
mox43,10,4.000000,9,8,0.003475,0.916088,-8.391197
mox43,10,4.000000,9,9,0.003543,0.933960,-6.603981
mox43,11,5.000000,2,1,0.003982,1.050113,5.011252
mox43,11,5.000000,2,2,0.003803,1.002859,0.285924
mox43,11,5.000000,3,1,0.003983,1.050363,5.036304
mox43,11,5.000000,3,2,0.003825,1.008737,0.873722
mox43,11,5.000000,3,3,0.003835,1.011184,1.118440
mox43,11,5.000000,4,2,0.003978,1.049110,4.911044
mox43,11,5.000000,4,3,0.004002,1.055257,5.525740
mox43,11,5.000000,5,1,0.004001,1.055197,5.519675
mox43,11,5.000000,5,2,0.003804,1.003247,0.324688
mox43,11,5.000000,5,3,0.003826,1.008927,0.892709
mox43,11,5.000000,5,4,0.004032,1.063187,6.318701
mox43,11,5.000000,5,5,0.003979,1.049166,4.916582
mox43,11,5.000000,6,1,0.003982,1.050120,5.012043
mox43,11,5.000000,6,2,0.003810,1.004774,0.477374
mox43,11,5.000000,6,3,0.003818,1.006933,0.693348
mox43,11,5.000000,6,4,0.004035,1.064049,6.404933
mox43,11,5.000000,6,5,0.004099,1.080897,8.089743
mox43,11,5.000000,7,2,0.003930,1.036450,3.644997
mox43,11,5.000000,7,3,0.003954,1.042647,4.264703
mox43,11,5.000000,7,5,0.004045,1.066689,6.668901
mox43,11,5.000000,7,6,0.003918,1.033317,3.331715
